date,asset_id,bid,ask,last,volume,market_cap_usd,source,event_type,precision_status,source_reference,observed_at,period_end,frequency
2024-09-24,rally-himalaya,,,49.0,0.0,98000.0,manual:chart_observation:exact:rally_app_chart,chart_observation,exact,Rally App,2024-09-24T00:00:00Z,2024-09-30,quarterly
2024-12-30,rally-himalaya,,,39.05,0.0,78100.0,manual:chart_observation:exact:rally_app_chart,chart_observation,exact,Rally App,2024-12-30T00:00:00Z,2024-12-31,quarterly
2025-03-27,rally-himalaya,,,45.0,0.0,90000.0,manual:chart_observation:exact:rally_app_chart,chart_observation,exact,Rally App,2025-03-27T00:00:00Z,2025-03-31,quarterly
2025-06-24,rally-himalaya,,,43.2,0.0,86400.0,manual:chart_observation:exact:rally_app_chart,chart_observation,exact,Rally App,2025-06-24T00:00:00Z,2025-06-30,quarterly
2025-09-26,rally-himalaya,,,45.05,0.0,90100.0,manual:chart_observation:exact:rally_app_chart,chart_observation,exact,Rally App,2025-09-26T00:00:00Z,2025-09-30,quarterly
2025-12-31,rally-himalaya,,,48.95,0.0,97900.0,manual:chart_observation:exact:rally_app_chart,chart_observation,exact,Rally App,2025-12-31T00:00:00Z,2025-12-31,quarterly
2026-03-30,rally-himalaya,,,49.0,0.0,98000.0,manual:chart_observation:exact:rally_app_chart,chart_observation,exact,Rally App,2026-03-30T00:00:00Z,2026-03-31,quarterly
2026-06-26,rally-himalaya,,,46.9,0.0,93800.0,manual:chart_observation:exact:rally_app_chart,chart_observation,exact,Rally App,2026-06-26T00:00:00Z,2026-06-30,quarterly
2022-03-31,rally-karuizawa,,,5.25,0.0,68250.0,manual:chart_observation:exact:rally_app_chart,chart_observation,exact,Rally App,2022-03-31T00:00:00Z,2022-03-31,quarterly
2022-06-27,rally-karuizawa,,,6.0,0.0,78000.0,manual:chart_observation:exact:rally_app_chart,chart_observation,exact,Rally App,2022-06-27T00:00:00Z,2022-06-30,quarterly
2022-09-28,rally-karuizawa,,,6.0,0.0,78000.0,manual:chart_observation:exact:rally_app_chart,chart_observation,exact,Rally App,2022-09-28T00:00:00Z,2022-09-30,quarterly
