date,universe,category,weighting_method,asset_id,ticker,constituent_status,units_held,price,price_source,position_value,portfolio_weight,entry_date,exit_date,terminal_proceeds,realized_pl,rebalance_trade_value
2025-04-30,full_market,all,equal_weight,rally-rlexpepsi,RLEXPEPSI,included_in_index,0.38854560410646033,11.0,asof_observed_or_offering,4.274001645171063,0.04347826086956521,2019-11-01,,0.0,0.0,
2025-04-30,full_market,all,equal_weight,rally-smurf,SMURF,included_in_index,0.2514118614806508,17.0,asof_observed_or_offering,4.274001645171063,0.04347826086956521,2019-11-01,,0.0,0.0,
2025-04-30,full_market,all,equal_weight,rally-snoopy,SNOOPY,included_in_index,0.2849334430114042,15.0,asof_observed_or_offering,4.274001645171063,0.04347826086956521,2020-04-01,,0.0,0.0,
2025-04-30,full_market,all,equal_weight,rally-tornek,TORNEK,included_in_index,1.3787102081196978,3.1,asof_observed_or_offering,4.274001645171063,0.04347826086956521,2020-11-01,,0.0,0.0,
2025-04-30,full_market,all,equal_weight,rally-03tache,03TACHE,included_in_index,1.0553090481903862,4.05,asof_observed_or_offering,4.274001645171063,0.04347826086956521,2020-11-01,,0.0,0.0,
2025-04-30,full_market,all,equal_weight,rally-14drc,14DRC,included_in_index,0.07498248500300111,57.0,asof_observed_or_offering,4.274001645171063,0.04347826086956521,2020-09-01,,0.0,0.0,
2025-04-30,full_market,all,equal_weight,rally-karuizawa,KARUIZAWA,included_in_index,1.1397337720456169,3.75,asof_observed_or_offering,4.274001645171063,0.04347826086956521,2021-11-01,,0.0,0.0,
2025-04-30,full_market,all,equal_weight,rally-macallan1,MACALLAN1,included_in_index,0.19879077419400296,21.5,asof_observed_or_offering,4.274001645171063,0.04347826086956521,2021-11-01,,0.0,0.0,
2025-04-30,full_market,all,equal_weight,rally-macallan2,MACALLAN2,included_in_index,0.5736914959961159,7.45,asof_observed_or_offering,4.274001645171063,0.04347826086956521,2022-02-01,,0.0,0.0,
2025-04-30,full_market,all,equal_weight,rally-macallan3,MACALLAN3,included_in_index,0.6784129595509625,6.3,asof_observed_or_offering,4.274001645171063,0.04347826086956521,2022-07-01,,0.0,0.0,
2025-05-31,full_market,all,equal_weight,rally-megalodon,MEGALODON,included_in_index,0.8548003290342129,5.0,asof_observed_or_offering,4.274001645171064,0.04347826086956521,2021-10-01,,0.0,0.0,
2025-05-31,full_market,all,equal_weight,rally-mosasaur,MOSASAUR,included_in_index,0.7770912082129208,5.5,asof_observed_or_offering,4.274001645171064,0.04347826086956521,2021-02-01,,0.0,0.0,
