asset_id,ticker,name,category,subcategory,brand,model,year,size,material,color,hardware,status,share_count,offering_date,offering_price_usd,offering_valuation_usd,acquisition_cost_usd,rally_url,sec_filing_url,source_type,source_url,source_notes,last_quote_observed_at,data_quality_status,data_quality_warnings
sec-rally-superbwl1,SUPERBWL1,1967 Super Bowl I Full Ticket graded PSA 5,cards,cards,,,1967.0,,,Super Bowl I Full Ticket graded PSA 5,,trading,4000.0,2022-06-02,6.0,24000.0,,,https://www.sec.gov/Archives/edgar/data/1688804/000168880422000046/253g2.htm,sec_synthesized,https://www.sec.gov/Archives/edgar/data/1688804/000168880422000046/253g2.htm,Synthesized from cached SEC offering tables; current live trading fields require Rally app/API data.,,limited,missing_quote_snapshot; sec_synthesized_not_live_rally_quote
sec-rally-therock,THEROCK,1997 Panini WWF Superstars Stickers #113 Rocky Maivia Card graded PSA GEM MT 10,cards,cards,,,1997.0,,,Panini WWF Superstars Stickers #113 Rocky Maivia Card graded PSA GEM MT 10,,trading,1000.0,2025-09-29,12.0,12000.0,,,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,sec_synthesized,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,Synthesized from cached SEC offering tables; current live trading fields require Rally app/API data.,,limited,missing_quote_snapshot; sec_synthesized_not_live_rally_quote
sec-rally-toppstrio,TOPPSTRIO,1980 Topps Scoring Leader Card (Bird / Erving /Johnson) Graded PSA MINT 9,cards,cards,,,1980.0,,,Topps Scoring Leader Card (Bird / Erving /Johnson) Graded PSA MINT 9,,trading,5000.0,2025-09-29,6.0,30000.0,,,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,sec_synthesized,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,Synthesized from cached SEC offering tables; current live trading fields require Rally app/API data.,,limited,missing_quote_snapshot; sec_synthesized_not_live_rally_quote
sec-rally-veeviper,VEEVIPER,2022 Gary Vee Original Veecon Exclusive Viper Drawing authenticated by PSA,cards,cards,,,2022.0,,,Gary Vee Original Veecon Exclusive Viper Drawing authenticated by PSA,,trading,1200015000.0,2022-06-02,5.0,6000075000.0,,,https://www.sec.gov/Archives/edgar/data/1688804/000168880422000046/253g2.htm,sec_synthesized,https://www.sec.gov/Archives/edgar/data/1688804/000168880422000046/253g2.htm,Synthesized from cached SEC offering tables; current live trading fields require Rally app/API data.,,limited,missing_quote_snapshot; sec_synthesized_not_live_rally_quote
sec-rally-verstapp1,VERSTAPP1,2020 Topps Dynasty Formula 1 Triple Patch Autographs #TRAIMV Max Verstappen Card graded BGS 9.5,cards,cards,,,2020.0,,,Topps Dynasty Formula 1 Triple Patch Autographs #TRAIMV Max Verstappen Card grad,,trading,4000.0,2022-06-02,8.0,32000.0,,,https://www.sec.gov/Archives/edgar/data/1688804/000168880422000046/253g2.htm,sec_synthesized,https://www.sec.gov/Archives/edgar/data/1688804/000168880422000046/253g2.htm,Synthesized from cached SEC offering tables; current live trading fields require Rally app/API data.,,limited,missing_quote_snapshot; sec_synthesized_not_live_rally_quote
sec-rally-wilt100,WILT100,1962 Ticket Stub from Wilt Chamberlain’s 100-Point Game graded PSA 3,cards,cards,,,1962.0,,,Ticket Stub from Wilt Chamberlains 100-Point Game graded PSA 3,,trading,11500.0,2025-09-29,10.0,115000.0,,,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,sec_synthesized,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,Synthesized from cached SEC offering tables; current live trading fields require Rally app/API data.,,limited,missing_quote_snapshot; sec_synthesized_not_live_rally_quote
sec-rally-02bz1,02BZ1,2002 BMW Z8,cars,cars,,,2002.0,,,BMW Z8,,exited,3000.0,2024-09-27,65.0,195000.0,,,https://www.sec.gov/Archives/edgar/data/1688804/000168880424000010/rsecollection1sa2024.htm,sec_synthesized,https://www.sec.gov/Archives/edgar/data/1688804/000168880424000010/rsecollection1sa2024.htm,Synthesized from cached SEC offering tables; current live trading fields require Rally app/API data.,,limited,missing_quote_snapshot; sec_synthesized_not_live_rally_quote
sec-rally-06fg1,06FG1,2006 Ford GT,cars,cars,,,2006.0,,,Ford GT,,exited,5000.0,2022-06-02,64.0,320000.0,,,https://www.sec.gov/Archives/edgar/data/1688804/000168880422000046/253g2.htm,sec_synthesized,https://www.sec.gov/Archives/edgar/data/1688804/000168880422000046/253g2.htm,Synthesized from cached SEC offering tables; current live trading fields require Rally app/API data.,,limited,missing_quote_snapshot; sec_synthesized_not_live_rally_quote
sec-rally-21mg1,21MG1,2021 Mercedes AMG GT Black Series One Edition,cars,cars,,,2021.0,,,Mercedes AMG GT Black Series One Edition,,trading,6000075000.0,2023-09-25,10.0,60000750000.0,,,https://www.sec.gov/Archives/edgar/data/1688804/000168880423000015/rsecollection1sa2023.htm,sec_synthesized,https://www.sec.gov/Archives/edgar/data/1688804/000168880423000015/rsecollection1sa2023.htm,Synthesized from cached SEC offering tables; current live trading fields require Rally app/API data.,,limited,missing_quote_snapshot; sec_synthesized_not_live_rally_quote
sec-rally-80lc1,80LC1,1980 Lamborghini Countach LP400 S Turbo,cars,cars,,,1980.0,,,Lamborghini Countach LP400 S Turbo,,exited,5000.0,2024-09-27,127.0,635000.0,,,https://www.sec.gov/Archives/edgar/data/1688804/000168880424000010/rsecollection1sa2024.htm,sec_synthesized,https://www.sec.gov/Archives/edgar/data/1688804/000168880424000010/rsecollection1sa2024.htm,Synthesized from cached SEC offering tables; current live trading fields require Rally app/API data.,,limited,missing_quote_snapshot; sec_synthesized_not_live_rally_quote
