date,active_asset_count,direct_observation_asset_count,carried_forward_asset_count,stale_asset_count,median_observation_age_days,max_observation_age_days,direct_coverage_pct,carried_forward_coverage_pct
2024-03-28,38,18,20,4,1.0,1609,0.3598899356381807,0.6401100643618193
2024-06-21,38,1,37,4,85.5,1694,0.01062442763783174,0.9893755723621682
2024-06-24,38,8,30,4,88.0,1697,0.17485881880812196,0.8251411811918781
2024-06-25,38,2,36,4,89.0,1698,0.030089863911751853,0.9699101360882482
2024-06-26,38,8,30,4,47.5,1699,0.13021924238756327,0.8697807576124367
2024-06-27,38,6,32,4,3.0,1700,0.1528498120904593,0.8471501879095407
2024-06-28,38,9,29,4,2.0,1701,0.17006901885760478,0.8299309811423952
2024-09-23,38,1,37,4,89.0,1788,0.026959919986808897,0.9730400800131911
2024-09-24,38,2,36,4,90.0,1789,0.06441967566449329,0.9355803243355068
2024-09-25,38,8,30,4,90.0,1790,0.15159591710307369,0.8484040828969263
2024-09-26,38,7,31,4,90.0,1791,0.17381565254174147,0.8261843474582585
2024-09-27,38,12,26,4,1.5,1792,0.1927688517540963,0.8072311482459037
2024-09-30,38,4,34,4,4.0,1795,0.08453285162954323,0.9154671483704567
2024-12-01,39,0,38,4,66.0,1857,0.0,0.13299426578171128
2024-12-24,39,2,37,4,89.0,1880,0.0033287982659987213,0.9966712017340013
2024-12-26,39,5,34,4,90.0,1882,0.013934404801987012,0.986065595198013
2024-12-27,39,8,31,4,91.0,1883,0.022426494381842004,0.977573505618158
2024-12-30,39,12,27,4,3.0,1886,0.038584474778279435,0.9614155252217206
2024-12-31,39,7,32,4,4.0,1887,0.016360591611913243,0.9836394083880867
2025-03-24,39,1,38,4,84.0,1970,0.0013699811674721851,0.9986300188325278
2025-03-25,39,1,38,4,85.0,1971,0.005185099406997465,0.9948149005930025
2025-03-26,39,5,34,4,86.0,1972,0.009303084014766172,0.9906969159852338
2025-03-27,39,5,34,4,87.0,1973,0.016468988038156926,0.9835310119618431
2025-03-28,39,11,28,4,2.0,1974,0.03396964677061525,0.9660303532293848
2025-03-31,39,11,28,4,3.0,1977,0.026738868245754957,0.973261131754245
2025-06-24,39,2,37,5,88.0,2062,0.007324617971754422,0.9926753820282456
2025-06-25,39,7,32,5,89.0,2063,0.012590394086576197,0.9874096059134237
2025-06-26,39,2,37,5,90.0,2064,0.006610685701244226,0.9933893142987558
2025-06-27,39,14,25,5,2.0,2065,0.03926363717367806,0.9607363628263219
2025-06-30,39,9,30,5,3.0,2068,0.023982292137414683,0.9760177078625853
2025-09-01,40,0,39,5,66.0,2131,0.0,0.558810786829196
2025-09-24,40,1,39,5,89.0,2154,0.0019059979461107318,0.9980940020538893
2025-09-25,40,6,34,5,90.0,2155,0.007016235966072014,0.992983764033928
2025-09-26,40,10,30,5,89.5,2156,0.015094374943927458,0.9849056250560725
2025-09-29,40,12,28,5,3.0,2159,0.020587437146385005,0.979412562853615
2025-09-30,40,4,36,5,4.0,2160,0.005084436963158291,0.9949155630368417
2025-10-01,40,1,39,5,5.0,2161,0.0010583632659044216,0.9989416367340955
2025-12-26,40,7,33,5,88.0,2247,0.007233979413804547,0.9927660205861955
2025-12-29,40,6,34,5,91.0,2250,0.00935435163972169,0.9906456483602784
2025-12-30,40,9,31,5,4.0,2251,0.01064338345625748,0.9893566165437425
2025-12-31,40,12,28,6,1.0,2252,0.02270858780522725,0.9772914121947728
2026-03-24,40,1,39,6,84.0,2335,0.0012356643081365493,0.9987643356918634
2026-03-25,40,2,38,6,85.0,2336,0.003320429964788614,0.9966795700352113
2026-03-26,40,4,36,6,86.0,2337,0.0027867008770189245,0.9972132991229811
2026-03-27,40,13,27,6,44.5,2338,0.018961761917387954,0.981038238082612
2026-03-30,40,8,32,6,3.0,2341,0.017076745945021076,0.9829232540549789
2026-03-31,40,6,34,6,4.0,2342,0.0064527844405760934,0.9935472155594239
2026-06-24,40,2,38,6,89.0,2427,0.004582448445468378,0.9954175515545316
2026-06-25,40,2,38,6,90.0,2428,0.0025918176021607663,0.9974081823978392
2026-06-26,40,13,27,6,87.0,2429,0.01827659123112024,0.9817234087688798
2026-06-29,40,12,28,6,3.0,2432,0.011973654565881661,0.9880263454341184
2026-06-30,40,5,35,6,4.0,2433,0.012482149599180875,0.9875178504008191
