exit_id,asset_id,series_name,sale_price,sale_date,realized_return,source_url,source_confidence
exit-0001688804-0001688804-25-000007-34GEHRIG,,Series #34GEHRIG,86000.0,2024-03-31,,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,0.88
exit-0001688804-0001688804-25-000007-58PELE2,,Series #58PELE2,62000.0,2021-02-26,,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,0.88
exit-0001688804-0001688804-25-000007-18LAMAR,,Series #18LAMAR,88500.0,2020-12-29,,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,0.88
exit-0001688804-0001688804-25-000007-AVENGERS1,,Series #AVENGERS1,325000.0,2021-07-09,,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,0.88
exit-0001688804-0001688804-25-000007-04MESSI,,Series #04MESSI,120000.0,2025-09-19,,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,0.88
exit-0001688804-0001688804-25-000007-PUNCHOUT,,Series #PUNCHOUT,100000.0,2024-05-02,,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,0.88
exit-0001688804-0001688804-25-000007-51HOWE,,Series #51HOWE,52000.0,2022-01-28,,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,0.88
exit-0001688804-0001688804-25-000007-THOR,,Series #THOR,261000.0,2021-07-14,,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,0.88
exit-0001688804-0001688804-25-000007-58PELE,,Series #58PELE,1331269.0,2022-02-11,,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,0.88
exit-0001688804-0001688804-25-000007-84JORDAN,,Series #84JORDAN,513985.0,2024-01-11,,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,0.88
exit-0001688804-0001688804-25-000007-96JORDAN,,Series #96JORDAN,92.0,2022-12-28,,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,0.88
exit-0001688804-0001688804-25-000007-FEDERAL,,Series #FEDERAL,195000.0,2024-09-07,,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,0.88
exit-0001688804-0001688804-25-000007-WOLVERINE,,Series #WOLVERINE,57000.0,2021-07-22,,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,0.88
