comp_id,source,auction_name,auction_url,sale_date,brand,model,size,material,color,hardware,condition,year,estimate_low_usd,estimate_high_usd,realized_price_usd,currency,title,lot_url,raw_text_path,confidence_score
sothebys-handbags-accessories-107,Sothebys,Handbags & Accessories,https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,2025-12-15,Hermes,,,,"Marron Fonce Buffalo Cabana Tote Palladium Hardware, 2009",Palladium Hardware,,2009.0,4000.0,6000.0,3810.0,USD,"Marron Foncè Buffalo Cabana Tote Palladium Hardware, 2009",https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,,0.53
sothebys-handbags-accessories-108,Sothebys,Handbags & Accessories,https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,2025-12-15,Hermes,Birkin,35.0,Niloticus Crocodile,Fauve Matte,Palladium Hardware,,2011.0,18000.0,28000.0,25400.0,USD,"Fauve Matte Niloticus Crocodile Birkin 35 Palladium Hardware, 2011",https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,,0.9099999999999999
sothebys-handbags-accessories-109,Sothebys,Handbags & Accessories,https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,2025-12-15,Hermes,Birkin,25.0,Niloticus Crocodile,Havane Shiny,Gold Hardware,,2011.0,40000.0,60000.0,53340.0,USD,"Havane Shiny Niloticus Crocodile Birkin 25 Gold Hardware, 2011",https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,,0.9099999999999999
sothebys-handbags-accessories-111,Sothebys,Handbags & Accessories,https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,2025-12-15,Hermes,Birkin,30.0,Porosus Crocodile,Gris Elephant Matte,Gold Hardware,,2022.0,32000.0,50000.0,44450.0,USD,"Gris Eléphant Matte Porosus Crocodile Birkin 30 Gold Hardware, 2022",https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,,0.9099999999999999
sothebys-handbags-accessories-112,Sothebys,Handbags & Accessories,https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,2025-12-15,Hermes,Birkin,35.0,,Noisette Courchevel,Gold Hardware,,2002.0,8000.0,14000.0,10160.0,USD,"Noisette Courchevel Birkin 35 Gold Hardware, 2002",https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,,0.83
sothebys-handbags-accessories-113,Sothebys,Handbags & Accessories,https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,2025-12-15,Hermes,Kelly,32.0,,Gold Courchevel,Gold Hardware,,1995.0,5000.0,8000.0,8255.0,USD,"Vintage Gold Courchevel Kelly 32 Sellier Gold Hardware, 1995",https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,,0.83
sothebys-handbags-accessories-114,Sothebys,Handbags & Accessories,https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,2025-12-15,Hermes,Picotin,,Clemence,Gold,Palladium Hardware,,2022.0,4000.0,6000.0,6350.0,USD,"Gold Clèmence Picotin Lock 18 Palladium Hardware, 2022",https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,,0.61
sothebys-handbags-accessories-115,Sothebys,Handbags & Accessories,https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,2025-12-15,Hermes,Picotin,,Swift,Gold,Gold Hardware,,2025.0,4000.0,6000.0,11430.0,USD,"Limited Edition Gold Swift and Ecru Toile Cargo Picotin Lock 18 Gold Hardware, 2025",https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,,0.61
sothebys-handbags-accessories-116,Sothebys,Handbags & Accessories,https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,2025-12-15,Hermes,Kelly,32.0,,Gold Courchevel and Ecru Crinoline,Gold Hardware,,1983.0,4000.0,6000.0,4445.0,USD,"Vintage Gold Courchevel and Ecru Crinoline Kelly 32 Sellier Gold Hardware, 1983",https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,,0.83
sothebys-handbags-accessories-118,Sothebys,Handbags & Accessories,https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,2025-12-15,Hermes,Kelly,20.0,Epsom,Etoupe,Palladium Hardware,,2024.0,16000.0,22000.0,24130.0,USD,"Etoupe Epsom Mini Kelly 20 II Palladium Hardware, 2024",https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,,0.9099999999999999
sothebys-handbags-accessories-119,Sothebys,Handbags & Accessories,https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,2025-12-15,Hermes,Birkin,35.0,Togo,Etoupe,Palladium Hardware,,2019.0,9000.0,14000.0,15240.0,USD,"Etoupe Togo Birkin 35 Palladium Hardware, 2019",https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,,0.9099999999999999
sothebys-handbags-accessories-120,Sothebys,Handbags & Accessories,https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,2025-12-15,Hermes,Birkin,35.0,Togo,Gris Tourterelle,Palladium Hardware,,2007.0,7000.0,14000.0,10795.0,USD,"Gris Tourterelle Togo Birkin 35 Palladium Hardware, 2007",https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,,0.9099999999999999
sothebys-handbags-accessories-121,Sothebys,Handbags & Accessories,https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,2025-12-15,Hermes,Birkin,35.0,Epsom,Gris Etain and Bleu Thalassa Verso,Palladium Hardware,,2011.0,7000.0,12000.0,10160.0,USD,"Gris Etain and Bleu Thalassa Verso Epsom Birkin 35 Palladium Hardware, 2011",https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,,0.9099999999999999
