date,category,category_market_cap,active_asset_count,direct_observation_market_cap,carried_forward_market_cap,price_effect,new_issuance,removed_capital,pl_contribution,total_market_cap,category_weight,prior_category_market_cap,period_return,return_index,frequency,calculated_at,calculation_version
2021-01-05,handbags,671500.0,8,56500.0,615000.0,500.0,0.0,0.0,500.0,1861100.0,0.36080812422760733,671000.0,0.0007451564828613311,94.36461184805391,native,2026-07-17T23:15:52.362646+00:00,exchange_history_v2_exit_aware
2021-01-05,watches,599000.0,10,46000.0,553000.0,4000.0,0.0,0.0,4000.0,1861100.0,0.32185266777712107,595000.0,0.006722689075630228,123.87799472442413,native,2026-07-17T23:15:52.362646+00:00,exchange_history_v2_exit_aware
2021-01-05,wine and whiskey,305600.0,8,0.0,305600.0,0.0,0.0,0.0,0.0,1861100.0,0.16420396539680834,305600.0,0.0,100.0,native,2026-07-17T23:15:52.362646+00:00,exchange_history_v2_exit_aware
2021-01-14,fossils,285000.0,1,0.0,285000.0,0.0,0.0,0.0,0.0,1861100.0,0.15313524259846328,285000.0,0.0,100.0,native,2026-07-17T23:15:52.362646+00:00,exchange_history_v2_exit_aware
2021-01-14,handbags,671500.0,8,0.0,671500.0,0.0,0.0,0.0,0.0,1861100.0,0.36080812422760733,671500.0,0.0,94.36461184805391,native,2026-07-17T23:15:52.362646+00:00,exchange_history_v2_exit_aware
2021-01-14,watches,599000.0,10,28000.0,571000.0,0.0,0.0,0.0,0.0,1861100.0,0.32185266777712107,599000.0,0.0,123.87799472442413,native,2026-07-17T23:15:52.362646+00:00,exchange_history_v2_exit_aware
2021-01-14,wine and whiskey,305600.0,8,0.0,305600.0,0.0,0.0,0.0,0.0,1861100.0,0.16420396539680834,305600.0,0.0,100.0,native,2026-07-17T23:15:52.362646+00:00,exchange_history_v2_exit_aware
2021-01-21,fossils,285000.0,1,0.0,285000.0,0.0,0.0,0.0,0.0,1862600.0,0.15301191882315043,285000.0,0.0,100.0,native,2026-07-17T23:15:52.362646+00:00,exchange_history_v2_exit_aware
2021-01-21,handbags,671500.0,8,0.0,671500.0,0.0,0.0,0.0,0.0,1862600.0,0.36051755610437025,671500.0,0.0,94.36461184805391,native,2026-07-17T23:15:52.362646+00:00,exchange_history_v2_exit_aware
2021-01-21,watches,600500.0,10,28500.0,572000.0,1500.0,0.0,0.0,1500.0,1862600.0,0.32239879738000643,599000.0,0.0025041736227044975,124.18820673124655,native,2026-07-17T23:15:52.362646+00:00,exchange_history_v2_exit_aware
2021-01-21,wine and whiskey,305600.0,8,0.0,305600.0,0.0,0.0,0.0,0.0,1862600.0,0.16407172769247289,305600.0,0.0,100.0,native,2026-07-17T23:15:52.362646+00:00,exchange_history_v2_exit_aware
2021-02-01,fossils,315000.0,2,0.0,285000.0,0.0,30000.0,0.0,0.0,1892600.0,0.16643770474479552,285000.0,0.0,100.0,native,2026-07-17T23:15:52.362646+00:00,exchange_history_v2_exit_aware
