asset_id,period_end,observed_at,price_per_share,market_cap,event_type,source_type,source_reference,collected_at,researcher,precision_status,notes,volume,frequency,implied_market_cap,warning_reason
rally-05latour,2024-06-30,2024-06-28T00:00:00Z,14.5,14500.0,chart_observation,rally_app_chart,Rally App,2026-07-14T00:00:00Z,Marshall,exact,,,quarterly,14500.0,chart_observation_marked_exact
rally-05latour,2024-09-30,2024-09-27T00:00:00Z,11.5,11500.0,chart_observation,rally_app_chart,Rally App,2026-07-14T00:00:00Z,Marshall,exact,,,quarterly,11500.0,chart_observation_marked_exact
rally-05latour,2024-12-31,2024-12-27T00:00:00Z,15.95,15950.0,chart_observation,rally_app_chart,Rally App,2026-07-14T00:00:00Z,Marshall,exact,,,quarterly,15950.0,chart_observation_marked_exact
rally-05latour,2025-03-31,2025-03-28T00:00:00Z,15.9,15900.0,chart_observation,rally_app_chart,Rally App,2026-07-14T00:00:00Z,Marshall,exact,,,quarterly,15900.0,chart_observation_marked_exact
rally-05latour,2025-06-30,2025-06-27T00:00:00Z,15.9,15900.0,chart_observation,rally_app_chart,Rally App,2026-07-14T00:00:00Z,Marshall,exact,,,quarterly,15900.0,chart_observation_marked_exact
rally-05latour,2025-09-30,2025-09-26T00:00:00Z,12.35,12350.0,chart_observation,rally_app_chart,Rally App,2026-07-14T00:00:00Z,Marshall,exact,,,quarterly,12350.0,chart_observation_marked_exact
rally-05latour,2025-12-31,2025-12-26T00:00:00Z,12.35,12350.0,chart_observation,rally_app_chart,Rally App,2026-07-14T00:00:00Z,Marshall,exact,,,quarterly,12350.0,chart_observation_marked_exact
rally-05latour,2026-03-31,2026-03-27T00:00:00Z,12.35,12350.0,chart_observation,rally_app_chart,Rally App,2026-07-14T00:00:00Z,Marshall,exact,,,quarterly,12350.0,chart_observation_marked_exact
rally-05latour,2026-06-30,2026-06-26T00:00:00Z,12.35,12350.0,chart_observation,rally_app_chart,Rally App,2026-07-14T00:00:00Z,Marshall,exact,,,quarterly,12350.0,chart_observation_marked_exact
rally-06brm,2020-12-31,2020-12-01T00:00:00Z,10.0,18500.0,offering_price,rally_app,Rally App,2026-07-14T00:00:00Z,Marshall,exact,Initial offering,,quarterly,18500.0,observed_at_exceeds_quarter_lookback:30d; offering_price_excluded_from_secondary_returns
rally-06brm,2021-03-31,2021-03-16T00:00:00Z,7.9,14615.0,chart_observation,rally_app_chart,Rally App,2026-07-14T00:00:00Z,Marshall,exact,,,quarterly,14615.0,observed_at_exceeds_quarter_lookback:15d; chart_observation_marked_exact
rally-06brm,2021-06-30,2021-08-20T00:00:00Z,9.95,18408.0,chart_observation,rally_app_chart,Rally App,2026-07-14T00:00:00Z,Marshall,chart_estimate,Nearest available observation after quarter-end. Submitted precision_status was approx.,,quarterly,18407.5,observed_at_after_period_end
rally-06brm,2021-09-30,2021-08-20T00:00:00Z,9.95,18408.0,chart_observation,rally_app_chart,Rally App,2026-07-14T00:00:00Z,Marshall,chart_estimate,Submitted precision_status was approx.,,quarterly,18407.5,observed_at_exceeds_quarter_lookback:41d
rally-06brm,2021-12-31,2022-01-18T00:00:00Z,9.75,18038.0,chart_observation,rally_app_chart,Rally App,2026-07-14T00:00:00Z,Marshall,chart_estimate,Nearest available observation after quarter-end. Submitted precision_status was approx.,,quarterly,18037.5,observed_at_after_period_end
rally-06brm,2022-03-31,2022-03-25T00:00:00Z,8.75,16188.0,chart_observation,rally_app_chart,Rally App,2026-07-14T00:00:00Z,Marshall,exact,,,quarterly,16187.5,chart_observation_marked_exact
rally-06brm,2022-06-30,2022-06-27T00:00:00Z,7.5,13875.0,chart_observation,rally_app_chart,Rally App,2026-07-14T00:00:00Z,Marshall,exact,,,quarterly,13875.0,chart_observation_marked_exact
rally-06brm,2022-09-30,2022-09-28T00:00:00Z,8.0,14800.0,chart_observation,rally_app_chart,Rally App,2026-07-14T00:00:00Z,Marshall,exact,,,quarterly,14800.0,chart_observation_marked_exact
rally-06brm,2022-12-31,2022-12-30T00:00:00Z,9.0,16650.0,chart_observation,rally_app_chart,Rally App,2026-07-14T00:00:00Z,Marshall,exact,,,quarterly,16650.0,chart_observation_marked_exact
rally-06brm,2023-03-31,2023-03-27T00:00:00Z,9.0,16650.0,chart_observation,rally_app_chart,Rally App,2026-07-14T00:00:00Z,Marshall,exact,,,quarterly,16650.0,chart_observation_marked_exact
rally-06brm,2023-06-30,2023-06-29T00:00:00Z,8.0,14800.0,chart_observation,rally_app_chart,Rally App,2026-07-14T00:00:00Z,Marshall,exact,,,quarterly,14800.0,chart_observation_marked_exact
rally-06brm,2023-09-30,2023-09-29T00:00:00Z,8.9,16465.0,chart_observation,rally_app_chart,Rally App,2026-07-14T00:00:00Z,Marshall,exact,,,quarterly,16465.0,chart_observation_marked_exact
